transfer_id,player_id,player_name,season,window,date,buying_club_id,buying_club_name,selling_club_id,selling_club_name,fee_eur,fee_type,transfer_type,position,age,source_name,source_endpoint,collected_at_utc,confidence_level,notes
5822476,111455,Granit Xhaka,2025/26,,2025-07-30,289,Sunderland,15,Leverkusen,15000000.0,,,,,transfermarkt_api,http://localhost:8000/players/111455/transfers,2026-04-27T17:12:07.499428+00:00,medium,
4483523,111455,Granit Xhaka,2023/24,,2023-06-07,15,Leverkusen,11,Arsenal,15000000.0,,,,,transfermarkt_api,http://localhost:8000/players/111455/transfers,2026-04-27T17:12:07.499428+00:00,medium,
1489516,111455,Granit Xhaka,2016/17,,2016-01-07,11,Arsenal,18,Mönchengladbach,45000000.0,,,,,transfermarkt_api,http://localhost:8000/players/111455/transfers,2026-04-27T17:12:07.499428+00:00,medium,
718530,111455,Granit Xhaka,2012/13,,2012-01-07,18,Mönchengladbach,26,Basel,8500000.0,,,,,transfermarkt_api,http://localhost:8000/players/111455/transfers,2026-04-27T17:12:07.499428+00:00,medium,
432932,111455,Granit Xhaka,2010/11,,2010-01-07,26,Basel,5299,FC Basel U21,,,,,,transfermarkt_api,http://localhost:8000/players/111455/transfers,2026-04-27T17:12:07.499428+00:00,medium,
354026,111455,Granit Xhaka,2008/09,,2008-01-07,5299,FC Basel U21,14322,FC Basel U18,,,,,,transfermarkt_api,http://localhost:8000/players/111455/transfers,2026-04-27T17:12:07.499428+00:00,medium,
773441,111455,Granit Xhaka,2007/08,,2007-01-07,14322,FC Basel U18,32336,FC Basel U16,,,,,,transfermarkt_api,http://localhost:8000/players/111455/transfers,2026-04-27T17:12:07.499428+00:00,medium,
2144580,111455,Granit Xhaka,2006/07,,2006-01-07,32336,FC Basel U16,42366,FC Basel Yth.,,,,,,transfermarkt_api,http://localhost:8000/players/111455/transfers,2026-04-27T17:12:07.499428+00:00,medium,
2144579,111455,Granit Xhaka,2005/06,,2005-01-07,42366,FC Basel Yth.,42366,FC Basel Yth.,,,,,,transfermarkt_api,http://localhost:8000/players/111455/transfers,2026-04-27T17:12:07.499428+00:00,medium,
2144578,111455,Granit Xhaka,2002/03,,2003-01-01,42366,FC Basel Yth.,43575,Concordia Yth.,,,,,,transfermarkt_api,http://localhost:8000/players/111455/transfers,2026-04-27T17:12:07.499428+00:00,medium,
