season,season_start_year,season_end_year,gbp_to_eur_rate,eur_to_usd_rate,gbp_to_usd_rate,inflation_adjustment_to_2025_26,fx_source,inflation_source,notes
1990/91,1990,1991,,,,,,,
1991/92,1991,1992,,,,,,,
1992/93,1992,1993,,,,,,,
1993/94,1993,1994,,,,,,,
1994/95,1994,1995,,,,,,,
1995/96,1995,1996,,,,,,,
1996/97,1996,1997,,,,,,,
1997/98,1997,1998,1.469000,1.121715,1.647800,1.985987,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 1997 and 1998.
1998/99,1998,1999,1.503950,1.088932,1.637700,1.958269,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 1998 and 1999.
1999/00,1999,2000,1.580700,0.991048,1.566550,1.937983,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 1999 and 2000.
2000/01,2000,2001,1.625450,0.909010,1.477550,1.918113,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2000 and 2001.
2001/02,2001,2002,1.599800,0.919959,1.471750,1.894801,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2001 and 2002.
2002/03,2002,2003,1.518250,1.033690,1.569400,1.870800,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2002 and 2003.
2003/04,2003,2004,1.459750,1.187738,1.733800,1.846184,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2003 and 2004.
2004/05,2004,2005,1.468400,1.243258,1.825600,1.815136,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2004 and 2005.
2005/06,2005,2006,1.464950,1.249838,1.830950,1.776076,"ONS average sterling exchange rates: THAP (GBP/EUR) and AUSS (GBP/USD), UK trade time series (MRET), accessed 2026-08-11","ONS CPI INDEX 00: ALL ITEMS 2015=100 (D7BT), accessed 2026-08-11",Season factors use the mean of the two surrounding ONS annual averages for calendar years 2005 and 2006.
